176,Davion Mitchell,TOR,7,29.1,8.1,3.3,8.0,41.1,1.0,3.9,25.9,0.6,0.9,66.7,0.3,2.0,2.3,6.1,1.1,0.6,3.1,10.1
177,Jalen Wilson,BKN,7,21.9,8.0,2.6,5.4,47.4,1.0,3.0,33.3,1.9,2.1,86.7,1.0,2.3,3.3,2.0,0.4,0.0,1.0,9.6
178,Cason Wallace,OKC,6,25.3,7.8,3.3,7.3,45.5,1.0,3.2,31.6,0.2,0.2,100,0.7,2.7,3.3,1.5,1.8,0.5,0.7,10.3
178,Ryan Dunn,PHX,6,17.8,7.8,3.0,6.5,46.2,1.8,4.7,39.3,0.0,0.0,0.0,0.5,1.7,2.2,0.8,0.5,0.3,0.3,7.8
180,Jared McCain,PHI,5,12.8,7.8,3.0,6.6,45.5,0.4,2.0,20.0,1.4,1.4,100,0.8,1.6,2.4,1.2,0.2,0.0,0.6,7.4
181,Al Horford,BOS,6,25.3,7.7,2.8,5.7,50.0,2.0,3.8,52.2,0.0,0.0,0.0,1.0,3.7,4.7,2.3,1.0,0.5,0.7,12.7
181,Dalton Knecht,LAL,6,17.0,7.7,2.7,6.0,44.4,1.3,3.8,34.8,1.0,1.0,100,0.2,1.3,1.5,1.2,0.3,0.0,0.7,6.7
183,Eric Gordon,PHI,5,22.6,7.6,2.4,5.8,41.4,1.0,3.2,31.3,1.8,2.4,75.0,0.2,0.6,0.8,1.4,0.0,0.2,0.6,5.4
184,Jake LaRavia,MEM,7,25.4,7.6,2.7,5.9,46.3,0.7,2.3,31.3,1.4,2.9,50.0,1.7,4.3,6.0,3.0,0.4,0.3,1.4,11.3
185,Ayo Dosunmu,CHI,6,26.7,7.5,3.2,8.7,36.5,0.8,4.7,17.9,0.3,0.5,66.7,0.3,5.2,5.5,4.2,0.0,0.5,1.3,10.7
185,Ben Sheppard,IND,6,18.2,7.5,2.8,5.2,54.8,1.8,3.7,50.0,0.0,0.0,0.0,0.5,1.8,2.3,0.8,0.2,0.3,0.2,8.7
185,Kris Dunn,LAC,6,21.5,7.5,3.0,5.2,58.1,1.3,2.7,50.0,0.2,0.7,25.0,1.2,3.7,4.8,2.5,1.2,0.0,1.2,12.2
188,Draymond Green,GSW,6,26.8,7.3,2.3,5.3,43.8,1.2,2.5,46.7,1.5,2.3,64.3,1.0,4.2,5.2,4.2,1.0,1.5,1.8,13.5
188,Kevin Porter Jr.,LAC,6,16.0,7.3,3.2,9.2,34.5,0.3,2.8,11.8,0.7,0.8,80.0,0.8,2.7,3.5,2.2,0.8,0.2,2.5,5.3
188,Mike Conley,MIN,6,23.7,7.3,1.8,7.0,26.2,1.5,5.0,30.0,2.2,2.3,92.9,1.0,1.7,2.7,4.3,1.5,0.3,1.5,9.3
191,Anthony Black,ORL,7,25.1,7.3,2.7,6.3,43.2,0.7,1.7,41.7,1.1,1.6,72.7,1.0,2.1,3.1,4.1,0.4,1.0,2.3,9.7
192,Guerschon Yabusele,PHI,5,19.6,7.2,2.6,5.6,46.4,1.2,3.4,35.3,0.8,1.2,66.7,1.4,2.4,3.8,2.0,1.4,0.4,1.8,9.6
