38,CJ McCollum,NOP,66,32.7,20.0,7.3,16.0,45.9,3.6,8.4,42.9,1.7,2.1,82.7,0.6,3.7,4.3,4.6,0.9,0.6,1.7,19.9,75,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,0.7,3.6,4.4,5.7,0.9,0.5,2.4,19.2,62,34.6,22.1,8.6,18.8,46.0,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,1.1,0.4,2.0,20.0
139,Caleb Martin,MIA,64,27.5,10.0,3.8,8.7,43.1,1.3,3.6,34.9,1.2,1.5,77.8,1.2,3.2,4.4,2.2,0.7,0.5,1.2,11.3,71,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.0,0.4,1.1,12.0,60,22.9,9.2,3.5,6.8,50.7,1.1,2.6,41.3,1.2,1.6,76.3,1.2,2.7,3.8,1.1,1.0,0.5,0.9,11.0
78,Caris LeVert,CLE,68,28.8,14.0,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3.0,76.6,0.6,3.5,4.1,5.1,1.1,0.5,1.7,15.4,74,30.2,12.1,4.3,10.0,43.1,1.7,4.4,39.2,1.8,2.4,72.2,0.7,3.1,3.8,3.9,1.0,0.3,1.6,13.2,58,30.7,17.0,6.5,14.7,44.4,1.4,4.4,32.0,2.5,3.3,75.6,0.7,2.9,3.7,4.3,0.9,0.4,1.9,15.4
193,Cedi Osman,SAS,72,17.6,6.8,2.6,5.3,47.9,1.2,3.1,38.9,0.5,0.7,67.3,0.3,2.2,2.5,1.7,0.5,0.2,0.7,7.9,77,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,0.3,2.0,2.3,1.5,0.5,0.1,0.7,8.2,66,22.2,10.7,3.7,8.7,43.2,1.9,5.4,35.7,1.3,2.0,66.4,0.4,1.8,2.2,2.0,0.8,0.2,1.0,9.3
152,Chris Paul,GSW,58,26.4,9.2,3.6,8.1,44.1,1.3,3.6,37.1,0.7,0.9,82.7,0.3,3.6,3.9,6.8,1.2,0.1,1.3,15.2,59,32.0,13.9,5.0,11.3,44.0,1.7,4.4,37.5,2.3,2.7,83.1,0.5,3.8,4.3,8.9,1.5,0.4,1.9,20.2,65,32.9,14.7,5.6,11.3,49.3,1.0,3.1,31.7,2.6,3.1,83.7,0.3,4.0,4.4,10.8,1.9,0.3,2.4,23.5
114,Clint Capela,ATL,73,25.8,11.5,4.8,8.5,57.1,0.0,0.0,0.0,1.8,2.8,63.1,4.6,6.0,10.6,1.2,0.6,1.5,1.0,19.7,65,26.6,12.0,5.4,8.2,65.3,0.0,0.0,0.0,1.2,2.0,60.3,4.0,7.1,11.0,0.9,0.7,1.2,0.8,21.3,74,27.6,11.1,5.0,8.2,61.3,0.0,0.0,0.0,1.1,2.3,47.3,3.8,8.1,11.9,1.2,0.7,1.3,0.6,21.2
47,Coby White,CHI,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,0.6,4.0,4.5,5.1,0.7,0.2,2.1,18.6,74,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,0.7,0.1,1.0,10.5,61,27.5,12.7,4.6,10.6,43.3,2.2,5.8,38.5,1.3,1.5,85.7,0.3,2.7,3.0,2.9,0.5,0.2,1.1,11.8
113,Cole Anthony,ORL,81,22.4,11.6,4.1,9.4,43.5,1.1,3.4,33.8,2.2,2.7,82.6,0.8,3.0,3.8,2.9,0.8,0.5,1.6,12.2,60,25.9,13.0,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4.0,4.8,3.9,0.6,0.5,1.5,15.5,65,31.7,16.3,5.5,14.0,39.1,2.0,6.0,33.8,3.3,3.9,85.4,0.5,4.9,5.4,5.7,0.7,0.3,2.6,16.6
92,Corey Kispert,WAS,80,25.8,13.4,4.8,9.9,48.6,2.3,6.0,38.3,1.4,2.0,72.6,0.4,2.4,2.8,2.0,0.5,0.2,1.2,12.0,74,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1.0,1.2,85.2,0.4,2.4,2.8,1.2,0.4,0.1,0.7,10.7,77,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.5,0.3,0.6,8.4
51,D'Angelo Russell,LAL,76,32.7,18.0,6.5,14.2,45.6,3.0,7.2,41.5,2.1,2.5,82.8,0.4,2.7,3.1,6.3,0.9,0.5,2.1,18.6,71,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3.0,82.9,0.5,2.5,3.0,6.2,1.0,0.4,2.6,18.1,65,32.0,18.1,6.2,15.0,41.1,2.7,8.0,34.0,3.0,3.7,82.5,0.4,2.9,3.3,7.1,1.0,0.3,2.5,17.8
121,Daniel Gafford,DAL,74,24.5,11.0,4.7,6.5,72.5,0.0,0.0,0.0,1.6,2.4,67.4,2.6,5.0,7.6,1.6,0.9,2.1,1.0,19.5,78,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,0.4,1.3,1.1,14.1,72,20.1,9.4,4.0,5.7,69.3,0.0,0.0,0.0,1.5,2.1,69.9,2.2,3.5,5.7,0.9,0.4,1.4,0.9,14.5
