GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
10,30.4,19.4,6.3,11.4,55.3,1.9,3.8,50.0,4.9,6.1,80.3,1.1,5.0,6.1,1.9,0.5,0.1,1.5,20.2,59,26.1,14.5,5.0,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,1.0,2.9,4.0,2.0,0.6,0.2,1.6,12.8,78,28.5,16.7,5.3,12.2,43.4,1.3,4.0,32.3,4.8,5.8,82.8,1.1,3.0,4.1,1.5,0.6,0.2,1.9,13.2
10,25.1,12.5,5.4,11.9,45.4,0.8,3.0,26.7,0.9,1.1,81.8,2.1,6.1,8.2,0.8,0.5,0.6,1.4,14.5,82,24.5,13.8,5.7,11.2,50.8,1.2,3.0,40.7,1.2,1.5,79.0,1.7,5.7,7.4,1.3,0.8,0.4,1.1,16.8,70,26.0,14.1,5.7,11.5,49.6,1.4,3.7,37.0,1.4,1.8,76.8,2.2,7.4,9.6,1.5,0.4,0.2,1.2,18.5
10,30.5,9.0,3.3,8.4,39.3,1.3,4.7,27.7,1.1,1.5,73.3,1.1,3.5,4.6,1.6,1.0,2.1,1.5,11.3,79,30.5,12.5,4.6,9.6,48.5,1.9,5.1,36.6,1.4,1.7,82.1,1.5,3.7,5.2,1.6,0.5,2.4,1.0,16.0,78,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2.0,4.7,6.7,1.3,0.5,2.5,1.4,19.5
10,24.9,18.0,6.4,12.8,50.0,4.0,8.2,48.8,1.2,1.4,85.7,0.7,3.6,4.3,2.1,0.8,0.5,0.9,18.2,84,25.7,12.1,4.4,10.1,43.6,2.6,6.8,38.6,0.6,0.7,88.1,0.7,2.5,3.2,2.8,0.8,0.5,1.2,12.4,80,31.0,16.8,5.9,13.0,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5.0,2.8,1.2,0.3,1.7,17.0
9,33.9,10.3,3.1,8.4,36.8,0.9,2.9,30.8,3.2,4.9,65.9,2.1,3.9,6.0,3.0,0.9,0.3,2.2,11.3,64,27.5,10.0,3.8,8.7,43.1,1.3,3.6,34.9,1.2,1.5,77.8,1.2,3.2,4.4,2.2,0.7,0.5,1.2,11.3,71,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.0,0.4,1.1,12.0
10,23.4,12.0,4.5,8.0,56.3,1.7,3.6,47.2,1.3,1.9,68.4,0.6,2.2,2.8,4.5,1.2,0.6,0.9,16.1,68,28.8,14.0,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3.0,76.6,0.6,3.5,4.1,5.1,1.1,0.5,1.7,15.4,74,30.2,12.1,4.3,10.0,43.1,1.7,4.4,39.2,1.8,2.4,72.2,0.7,3.1,3.8,3.9,1.0,0.3,1.6,13.2
11,28.5,10.5,3.7,8.0,46.6,2.0,5.4,37.3,1.0,1.0,100,0.5,3.4,3.8,8.4,1.2,0.1,2.1,17.5,58,26.4,9.2,3.6,8.1,44.1,1.3,3.6,37.1,0.7,0.9,82.7,0.3,3.6,3.9,6.8,1.2,0.1,1.3,15.2,59,32.0,13.9,5.0,11.3,44.0,1.7,4.4,37.5,2.3,2.7,83.1,0.5,3.8,4.3,8.9,1.5,0.4,1.9,20.2
10,35.3,16.3,5.8,10.5,55.2,1.7,3.4,50.0,3.0,3.7,81.1,1.2,4.2,5.4,1.6,0.9,0.9,1.2,18.5,82,20.2,7.3,2.7,5.9,46.0,0.8,2.0,38.4,1.1,1.6,69.4,1.0,2.8,3.7,1.6,0.5,0.4,0.7,9.2,76,15.5,4.7,1.9,3.8,49.5,0.4,1.3,35.4,0.5,0.8,62.5,0.6,1.8,2.4,0.8,0.5,0.2,0.5,6.0
12,22.3,11.2,4.8,7.3,65.9,0.0,0.0,0.0,1.5,2.2,69.2,2.8,4.6,7.3,1.1,0.5,0.7,1.0,16.6,73,25.8,11.5,4.8,8.5,57.1,0.0,0.0,0.0,1.8,2.8,63.1,4.6,6.0,10.6,1.2,0.6,1.5,1.0,19.7,65,26.6,12.0,5.4,8.2,65.3,0.0,0.0,0.0,1.2,2.0,60.3,4.0,7.1,11.0,0.9,0.7,1.2,0.8,21.3
11,33.6,19.5,6.5,14.8,44.2,3.5,9.2,38.6,2.8,3.4,83.8,0.2,3.6,3.8,5.1,1.5,0.2,2.9,18.4,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,0.6,4.0,4.5,5.1,0.7,0.2,2.1,18.6,74,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,0.7,0.1,1.0,10.5
