GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
12,29.3,20.9,8.1,16.8,48.3,1.7,5.2,32.3,3.1,3.8,82.2,1.2,4.2,5.3,4.6,1.5,0.2,2.3,20.9,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85.0,1.0,4.3,5.3,3.7,1.1,0.4,1.9,19.8,80,32.6,18.6,6.8,14.0,48.5,1.6,4.5,36.1,3.4,4.0,84.2,0.9,3.2,4.1,3.5,1.0,0.2,2.1,17.5
10,35.6,13.2,4.7,12.5,37.6,2.0,7.1,28.2,1.8,2.4,75.0,0.9,3.0,3.9,5.8,1.7,0.3,1.0,15.5,73,36.8,17.4,5.8,13.9,41.6,3.1,8.0,38.7,2.7,3.1,86.0,0.5,3.4,3.8,8.1,1.4,0.8,1.7,21.2,69,36.7,19.3,6.3,16.1,39.3,3.0,8.8,34.2,3.7,4.1,89.8,0.4,3.6,4.1,7.2,1.8,0.6,2.0,20.7
8,26.9,7.3,2.3,7.6,29.5,1.1,4.9,23.1,1.6,1.8,92.9,0.0,1.4,1.4,0.9,0.8,0.0,0.9,3.9,71,28.1,13.7,5.1,11.9,42.6,2.5,6.4,39.3,1.0,1.4,77.1,0.4,2.3,2.6,1.7,1.1,0.1,0.7,11.5,66,32.1,17.4,6.1,14.2,43.3,2.5,6.8,36.9,2.6,3.1,83.9,0.5,2.2,2.6,1.6,1.6,0.2,0.8,14.0
12,18.4,6.8,2.8,5.8,47.8,1.2,3.7,31.8,0.2,0.3,66.7,0.6,2.8,3.3,1.2,0.4,0.3,0.8,8.2,82,22.3,9.4,3.5,7.7,44.9,1.8,4.8,37.6,0.6,0.7,85.0,0.3,3.1,3.4,1.2,0.4,0.2,0.9,9.3,78,19.4,8.2,2.8,6.4,44.2,2.0,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1.0,0.4,0.2,0.7,7.7
9,34.8,31.6,12.9,21.2,60.7,0.1,0.7,16.7,5.7,10.2,55.4,2.3,10.4,12.8,5.2,0.4,0.9,2.7,35.3,73,35.2,30.4,11.5,18.8,61.1,0.5,1.7,27.4,7.0,10.7,65.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,36.4,63,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,0.8,0.8,3.9,32.9
11,28.1,9.9,3.3,7.5,43.9,1.8,5.0,36.4,1.5,2.0,77.3,0.9,3.5,4.5,2.3,1.4,0.6,1.9,12.1,76,28.0,10.3,3.6,8.0,45.6,1.7,4.4,37.5,1.4,1.8,75.7,1.1,3.1,4.2,2.3,0.6,0.5,1.4,11.7,79,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,1.1,3.5,4.6,1.7,0.5,0.4,1.0,10.6
8,20.3,8.3,2.5,7.8,32.3,1.9,5.9,31.9,1.4,1.5,91.7,0.6,1.6,2.3,1.1,0.9,0.5,0.9,6.8,75,33.5,13.5,4.5,9.1,49.9,2.7,5.9,46.1,1.7,2.0,87.8,0.6,3.3,3.9,3.0,0.9,0.6,1.3,15.9,72,27.4,10.4,3.4,7.7,44.0,2.0,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,0.9,0.2,1.0,11.5
11,28.6,9.7,3.5,7.0,50.6,1.1,3.2,34.3,1.5,1.8,85.0,1.5,2.1,3.6,1.5,0.3,0.2,1.0,10.6,82,29.0,12.2,4.2,8.9,47.4,1.8,4.7,38.7,1.9,2.4,80.1,0.8,2.2,3.0,1.2,0.7,0.1,0.7,11.4,82,32.5,15.0,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5.0,84.7,1.1,3.4,4.5,1.6,0.7,0.1,1.0,14.9
12,20.3,5.8,2.0,4.3,47.1,1.1,2.3,48.1,0.7,1.1,61.5,0.9,1.4,2.3,1.6,0.7,0.3,0.3,7.8,69,27.3,9.4,3.4,7.0,49.0,1.2,3.1,39.1,1.3,2.0,67.9,1.0,2.0,3.0,1.9,0.8,0.5,0.8,10.6,76,21.8,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.7,0.4,0.6,7.9
11,21.9,9.9,3.5,8.1,42.7,2.5,6.5,39.4,0.5,0.6,71.4,0.9,2.2,3.1,1.6,0.7,0.1,0.3,10.4,78,18.5,8.2,2.8,6.2,45.8,1.9,4.5,41.6,0.6,0.7,86.5,0.4,1.9,2.3,1.3,0.6,0.3,0.6,8.5,73,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.7,0.1,0.5,9.2
11,35.0,16.9,7.2,12.3,58.5,0.0,0.0,0.0,2.5,4.1,62.2,4.4,8.5,12.8,2.5,0.7,1.2,2.2,25.4,68,26.4,11.7,5.0,7.6,64.9,0.0,0.0,0.0,1.8,2.4,72.3,2.9,6.3,9.2,1.4,0.3,1.2,1.2,19.3,76,28.5,10.8,4.3,6.8,63.4,0.0,0.0,0.0,2.2,3.1,69.7,3.1,6.8,9.9,1.0,0.4,1.3,1.5,18.4
11,28.8,11.0,3.8,9.7,39.3,1.2,4.7,25.0,2.2,2.5,85.7,2.3,4.6,6.9,0.7,0.4,0.5,0.8,12.5,76,31.9,13.7,5.0,11.0,45.4,1.8,5.0,36.3,2.0,2.4,81.1,1.8,6.3,8.1,1.6,0.7,0.8,1.2,17.3,79,31.0,12.8,4.6,11.3,40.8,1.5,4.9,30.7,2.1,2.6,78.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,14.2
11,32.2,18.5,6.8,14.9,45.7,1.8,4.9,37.0,3.1,4.3,72.3,1.5,3.1,4.5,3.5,0.8,0.5,3.4,15.4,77,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,1.1,2.3,3.4,3.8,0.7,0.5,2.5,13.3,74,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1.0,2.9,3.9,5.2,0.8,0.2,3.2,14.3
10,28.3,9.3,3.7,8.3,44.6,1.0,3.4,29.4,0.9,1.2,75.0,1.1,1.7,2.8,1.5,0.7,1.0,0.9,9.5,72,29.2,10.5,4.3,8.7,48.9,1.2,3.5,33.7,0.8,1.1,72.2,0.8,2.3,3.1,1.4,0.9,0.6,1.2,10.5,79,30.6,12.1,4.7,9.1,51.7,1.4,3.4,39.8,1.3,1.8,73.6,1.2,2.7,3.9,1.9,0.9,1.0,1.4,13.4
9,34.6,25.0,9.0,18.9,47.6,2.2,5.3,41.7,4.8,5.9,81.1,0.4,2.4,2.9,6.6,0.4,0.0,1.8,22.1,77,35.4,28.7,10.3,21.4,47.9,2.7,6.8,40.1,5.5,6.5,84.7,0.6,3.1,3.6,6.7,0.9,0.2,2.4,25.6,68,35.0,24.0,8.6,17.6,49.1,2.0,4.7,41.6,4.8,5.8,82.9,0.6,3.0,3.5,6.2,0.9,0.2,2.1,22.9
9,23.3,8.0,3.3,4.0,83.3,0.0,0.0,0.0,1.3,2.3,57.1,3.2,6.4,9.7,2.4,0.3,1.2,1.8,18.2,61,29.1,13.8,5.7,9.2,61.9,0.0,0.1,0.0,2.3,3.0,79.0,3.1,8.5,11.6,2.4,0.5,0.8,2.1,22.9,67,24.9,9.1,3.9,5.9,64.8,0.0,0.0,0.0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,0.7,0.9,1.4,16.3
11,33.5,20.7,7.0,17.9,39.1,3.0,8.7,34.4,3.7,4.3,87.2,0.5,4.1,4.5,2.9,0.9,0.5,2.6,15.5,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,0.5,4.7,5.2,3.5,0.8,0.3,2.3,16.9,76,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,0.8,0.2,2.6,16.2
9,14.6,8.9,3.1,6.8,45.9,1.6,3.8,41.2,1.1,1.7,66.7,1.6,3.7,5.2,0.6,0.6,0.3,0.6,10.8,61,17.2,9.9,3.8,6.5,59.2,1.0,2.4,42.4,1.2,1.7,69.2,1.8,3.7,5.5,1.0,0.3,0.6,0.7,13.4,68,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,0.3,0.9,1.1,11.9
11,32.3,19.9,8.1,15.9,50.9,1.8,4.5,40.0,1.9,2.6,72.4,1.0,5.4,6.4,5.0,1.9,0.8,2.4,23.1,71,31.3,19.1,7.5,14.0,54.0,1.5,3.4,42.7,2.5,3.1,81.4,0.5,3.5,4.0,4.5,1.1,0.6,1.7,20.6,75,30.3,14.1,5.5,10.6,52.1,1.0,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.4,0.5,1.6,16.5
7,35.3,18.1,6.1,15.3,40.2,1.9,5.6,33.3,4.0,4.7,84.8,0.4,3.4,3.9,4.9,0.9,0.0,1.7,16.1,59,31.5,21.2,8.0,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,0.7,3.4,4.1,6.5,1.0,0.7,2.1,22.2,65,32.8,20.0,7.3,16.0,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4.0,6.2,1.0,0.2,2.2,19.8
11,35.1,20.8,5.9,16.5,35.9,2.5,8.0,30.7,6.5,7.6,85.7,0.9,7.5,8.4,9.0,1.5,0.9,5.2,23.8,72,34.3,16.6,4.9,11.4,42.8,2.6,6.8,38.1,4.2,4.8,87.8,0.5,4.7,5.1,8.5,1.1,0.8,2.6,22.4,58,36.8,21.0,6.4,14.5,44.1,2.8,7.2,38.5,5.4,6.2,86.7,0.7,5.4,6.1,10.7,1.2,0.5,3.4,27.2
9,27.7,21.8,8.0,14.4,55.4,2.0,4.9,40.9,3.8,5.1,73.9,1.1,4.3,5.4,1.0,1.4,1.2,2.1,21.0,66,32.2,22.5,7.8,17.6,44.4,1.8,5.5,32.0,5.1,6.3,80.8,1.3,4.2,5.5,2.3,1.2,1.6,2.4,19.8,63,28.4,18.6,6.6,13.0,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5.0,6.8,1.0,1.0,3.0,1.7,21.2
12,29.4,13.5,5.3,8.3,64.0,0.0,0.0,0.0,2.8,3.9,72.3,2.0,8.6,10.6,1.8,0.8,1.3,1.2,22.8,77,31.7,16.5,6.7,10.6,63.4,0.0,0.1,0.0,3.0,4.1,74.2,3.2,7.4,10.5,2.7,0.7,1.1,1.6,25.0,68,32.6,14.3,5.9,9.2,64.4,0.0,0.1,10.0,2.4,3.3,73.3,3.3,6.5,9.8,1.7,0.8,1.2,1.4,22.2
12,36.1,29.7,9.2,20.2,45.5,4.1,11.4,35.8,7.3,8.9,81.3,0.4,7.1,7.5,5.3,1.6,0.7,3.1,28.9,74,35.7,26.9,9.1,19.3,47.1,3.1,8.2,37.6,5.6,6.7,83.3,0.9,7.2,8.1,4.9,1.0,0.6,2.5,27.6,74,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,1.1,7.7,8.8,4.6,1.1,0.7,2.9,29.9
8,30.5,16.1,5.4,11.3,47.8,0.3,1.6,15.4,5.1,7.0,73.2,2.6,2.1,4.8,4.9,1.5,0.3,1.8,18.0,60,34.0,20.8,6.6,13.2,49.9,1.0,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5.0,1.3,0.3,1.7,23.2,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,2.2,3.7,5.9,5.3,1.8,0.3,1.6,27.0
9,24.3,15.8,6.0,12.0,50.0,1.0,2.9,34.6,2.8,2.9,96.2,2.1,5.3,7.4,2.6,1.0,0.8,2.7,18.8,68,28.0,15.1,5.8,11.0,53.2,1.3,3.4,37.1,2.2,2.7,79.5,2.3,6.1,8.5,1.1,0.6,0.9,1.4,19.0,71,30.0,13.1,5.1,10.0,50.8,1.0,3.4,29.2,2.0,2.5,80.3,1.1,5.4,6.5,1.2,0.6,1.0,1.1,15.9
9,20.6,12.3,5.0,8.4,59.2,0.1,0.3,33.3,2.2,2.4,90.9,2.2,5.0,7.2,2.6,0.6,0.6,1.8,17.8,82,23.5,12.2,4.9,8.8,55.9,0.5,1.5,30.8,2.0,2.5,78.5,2.3,6.5,8.8,2.1,0.4,0.8,1.4,18.6,79,24.9,14.1,5.6,10.3,54.7,0.5,1.4,34.9,2.3,2.8,82.6,2.8,7.3,10.2,1.8,0.3,0.7,2.0,19.8
10,24.0,14.6,5.3,11.1,47.7,1.1,3.2,34.4,2.9,4.4,65.9,1.2,3.1,4.3,1.8,0.9,0.5,1.8,13.0,74,26.3,16.1,6.2,11.6,52.9,0.7,2.2,32.1,3.0,4.0,74.6,1.2,3.6,4.8,2.2,0.7,0.5,1.6,16.1,67,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,0.6,0.5,1.4,10.7
9,30.3,20.0,6.7,15.8,42.3,3.3,8.0,41.7,3.3,3.7,90.9,0.3,1.7,2.0,4.2,2.3,0.8,3.6,16.3,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,0.4,2.3,2.7,4.4,1.1,0.3,2.4,14.2,82,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,0.4,2.4,2.7,4.5,0.8,0.3,3.1,16.1
11,28.9,13.9,5.0,11.4,44.0,1.5,3.4,43.2,2.5,3.7,65.9,1.5,5.2,6.6,7.0,0.8,0.2,2.7,18.2,80,25.2,12.3,5.0,10.6,47.5,1.0,3.0,33.7,1.3,1.6,80.6,1.4,5.0,6.4,4.8,0.6,0.6,2.1,16.8,76,31.1,16.6,7.1,14.7,48.2,1.0,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,0.8,0.4,2.8,20.9
9,36.7,13.8,5.2,9.1,57.3,1.0,3.4,29.0,2.3,2.8,84.0,1.9,7.1,9.0,5.1,1.1,0.2,1.9,23.0,81,33.4,9.4,3.6,8.4,43.4,1.0,3.2,31.0,1.1,1.4,79.1,1.6,6.8,8.3,4.1,0.9,0.3,1.5,16.5,76,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.2,0.3,1.5,17.5
12,30.7,12.5,4.6,9.6,47.8,1.8,5.0,36.7,1.5,1.8,85.7,0.7,3.1,3.8,4.0,0.3,0.2,1.6,13.9,69,32.8,12.5,4.8,10.0,48.0,2.0,4.7,42.9,0.9,1.0,83.3,1.2,4.2,5.4,4.8,0.9,0.8,1.8,17.2,67,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,1.2,0.4,2.9,22.0
8,17.8,5.5,2.1,3.0,70.8,0.3,0.3,100,1.0,1.3,80.0,0.5,2.3,2.8,0.6,0.4,0.8,0.0,8.9,60,12.5,3.7,1.6,3.0,53.6,0.1,0.5,28.6,0.4,0.7,53.7,0.7,1.5,2.2,0.9,0.4,0.2,0.5,5.1,82,28.0,12.7,5.0,8.8,56.9,0.8,2.6,31.5,1.8,2.7,68.0,1.5,4.0,5.5,1.5,0.5,0.4,1.1,14.8
11,37.3,13.5,5.1,11.9,42.7,1.7,6.2,27.9,1.6,1.9,85.7,2.5,5.9,8.5,1.7,0.4,0.6,0.8,16.8,77,33.6,15.2,5.8,12.7,45.4,2.4,6.6,35.8,1.3,1.6,83.1,1.4,4.1,5.5,1.7,1.0,0.8,0.8,16.1,80,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1.0,76.5,1.1,3.5,4.6,1.2,0.8,0.5,0.8,13.0
11,27.3,12.5,4.7,10.5,45.2,1.0,3.9,25.6,2.1,2.5,82.1,1.2,4.5,5.7,1.4,0.8,0.3,0.9,13.6,69,29.5,15.7,5.7,12.5,45.4,1.8,5.3,34.6,2.5,3.2,79.2,1.4,4.1,5.5,2.8,0.7,0.3,1.4,16.1,63,32.7,22.0,8.0,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,0.9,4.2,5.0,2.9,0.7,0.2,2.1,17.7
12,28.9,6.8,2.2,6.8,32.1,0.9,4.4,20.8,1.6,1.6,100,0.5,1.8,2.3,2.0,1.4,0.7,0.6,8.1,76,31.6,10.1,3.6,7.7,46.0,1.6,4.1,40.6,1.3,1.5,89.4,0.4,2.0,2.4,2.4,1.3,0.6,1.0,11.4,76,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.5,0.5,1.1,12.0
9,25.8,10.2,4.0,8.7,46.2,2.0,5.9,34.0,0.2,0.2,100,0.4,2.9,3.3,2.1,1.2,0.6,0.8,12.0,64,24.4,10.2,3.9,8.8,44.3,1.9,5.3,36.1,0.6,0.7,76.6,0.6,2.9,3.5,2.6,0.7,0.4,0.8,11.5,75,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,0.6,2.8,3.3,2.9,1.1,0.3,1.3,15.2
9,16.2,5.9,2.3,4.8,48.8,0.0,0.0,0.0,1.2,1.9,64.7,3.9,4.3,8.2,1.6,1.0,0.4,0.6,13.4,74,16.1,4.5,1.9,3.1,59.7,0.0,0.0,0.0,0.8,1.1,67.5,1.9,3.7,5.7,1.8,0.4,0.4,0.7,10.4,82,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.6,0.6,0.5,17.1
10,30.1,13.8,5.1,12.2,41.8,2.9,8.2,35.4,0.7,0.7,100,0.6,3.1,3.7,2.0,0.6,0.2,0.8,12.4,77,29.7,17.9,6.4,14.7,43.2,3.5,9.0,38.7,1.6,1.8,92.7,0.5,2.8,3.3,2.3,0.6,0.5,1.5,14.5,69,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,0.7,0.4,1.8,17.3
10,16.7,5.6,2.0,5.5,36.4,0.6,2.4,25.0,1.0,1.4,71.4,1.0,2.7,3.7,2.6,1.1,0.7,0.3,9.5,79,22.6,6.4,2.5,5.5,46.0,0.1,0.6,22.9,1.2,1.7,70.8,0.8,2.7,3.5,4.2,0.9,0.6,1.2,10.9,69,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,1.0,4.4,5.3,4.9,1.1,0.9,1.5,16.1
10,35.6,25.6,9.6,17.8,53.9,3.2,5.8,55.2,3.2,3.7,86.5,1.3,3.5,4.8,4.8,1.6,0.3,1.6,26.8,58,35.0,25.6,9.7,19.5,49.7,3.0,7.3,41.1,3.3,3.6,90.5,0.8,4.2,5.0,5.2,1.3,0.5,1.8,25.6,60,37.4,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1.0,4.1,5.1,5.5,1.1,0.8,2.1,26.8
11,27.3,11.5,4.0,8.5,47.3,2.4,5.2,45.6,1.2,1.3,92.9,0.8,2.6,3.5,1.5,1.4,0.7,0.7,13.4,79,28.4,10.9,3.6,8.3,43.8,2.0,5.0,39.4,1.6,2.0,82.6,0.9,2.7,3.6,1.4,0.9,0.6,0.9,11.5,74,30.7,13.7,4.6,11.8,38.8,1.8,5.5,33.0,2.7,3.5,77.2,1.7,2.9,4.6,2.1,1.0,0.3,1.2,12.5
10,37.6,28.3,9.6,23.3,41.2,3.3,9.9,33.3,5.8,7.4,78.4,0.5,7.6,8.1,8.1,1.3,0.4,3.1,27.8,70,37.5,33.9,11.5,23.6,48.7,4.1,10.6,38.2,6.8,8.7,78.6,0.8,8.4,9.2,9.8,1.4,0.5,4.0,36.9,66,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8.0,1.4,0.5,3.6,33.5
11,15.8,4.0,1.3,2.2,58.3,0.0,0.0,0.0,1.5,1.5,94.1,1.9,1.9,3.8,1.5,0.5,0.7,0.4,9.2,63,15.6,5.3,2.3,3.2,70.0,0.0,0.0,100,0.8,0.9,90.7,1.9,2.3,4.1,1.1,0.4,1.0,0.3,10.5,69,11.7,3.8,1.6,2.5,66.5,0.0,0.2,23.1,0.5,0.6,82.1,1.2,1.6,2.9,0.8,0.2,0.7,0.4,6.9
9,16.3,10.0,3.4,6.6,52.5,1.4,2.8,52.0,1.7,2.0,83.3,0.0,1.9,1.9,1.1,0.6,0.2,1.4,8.9,75,21.3,9.2,3.6,8.4,43.2,1.2,3.6,34.7,0.7,0.8,87.3,0.4,1.6,2.0,2.1,0.4,0.1,1.2,7.6,66,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,0.5,0.1,1.2,9.0
11,26.4,12.1,4.2,11.6,35.9,2.6,7.6,34.5,1.1,1.6,66.7,0.5,1.5,2.1,1.6,0.6,0.1,1.3,7.3,79,29.6,11.3,4.1,9.1,44.3,2.8,6.9,41.3,0.3,0.4,71.4,0.5,3.2,3.7,1.4,0.7,0.1,0.7,11.3,81,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,0.4,3.1,3.5,1.5,0.8,0.1,1.1,10.3
10,25.0,12.6,4.6,10.4,44.2,1.2,4.3,27.9,2.2,2.6,84.6,0.0,3.0,3.0,2.8,0.9,0.4,0.8,12.7,72,26.0,15.4,5.5,12.4,44.3,2.1,5.9,35.0,2.4,2.8,82.9,0.4,2.6,2.9,5.1,0.6,0.5,2.1,15.2,77,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,0.6,0.3,1.9,13.0
10,36.8,18.0,6.7,14.1,47.5,3.1,7.6,40.8,1.5,2.0,75.0,1.3,5.7,7.0,2.9,1.1,0.5,1.1,20.5,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,1.3,5.7,7.0,1.5,0.5,0.7,1.1,18.2,62,29.0,17.4,6.4,13.2,48.7,3.0,7.3,41.4,1.5,1.9,80.0,1.0,4.5,5.5,1.0,0.6,0.5,1.1,16.8
9,37.8,15.3,6.3,13.6,46.7,2.2,7.0,31.7,0.4,0.9,50.0,1.2,2.3,3.6,3.4,1.2,0.7,1.6,15.0,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,0.8,3.7,4.5,3.6,1.0,0.4,2.0,17.5,83,35.7,20.1,7.1,15.3,46.8,2.0,5.3,38.2,3.8,4.3,89.5,1.0,3.4,4.4,3.3,1.1,0.7,1.5,19.5
10,23.4,7.5,2.3,7.5,30.7,1.5,5.0,30.0,1.4,1.5,93.3,0.8,2.1,2.9,4.6,1.3,0.3,1.3,10.0,76,28.9,11.4,3.9,8.5,45.7,2.4,5.3,44.2,1.3,1.5,91.1,0.5,2.4,2.9,5.9,1.2,0.2,1.3,15.5,67,30.3,11.9,3.9,9.1,42.8,2.0,5.2,38.5,2.1,2.5,83.4,0.5,2.2,2.7,6.7,1.1,0.2,1.5,15.5
9,26.8,11.2,4.1,9.3,44.0,2.1,5.3,39.6,0.9,1.1,80.0,0.4,1.9,2.3,2.7,1.1,0.3,1.1,11.1,68,19.5,8.3,3.0,6.7,45.2,1.6,3.9,41.0,0.6,0.7,86.0,0.5,1.0,1.5,1.7,0.7,0.1,0.4,8.0,64,11.9,3.5,1.2,3.4,35.8,0.6,2.1,29.9,0.4,0.7,66.7,0.2,0.6,0.8,1.1,0.6,0.1,0.4,3.3
10,16.6,9.7,3.4,6.9,49.3,1.9,4.1,46.3,1.0,1.4,71.4,0.6,1.4,2.0,1.1,0.4,0.1,0.9,8.5,66,17.5,8.1,2.9,6.4,46.2,1.1,3.0,36.0,1.1,1.4,78.5,1.0,2.0,3.0,0.9,0.6,0.4,0.7,8.5,63,13.0,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.3,0.1,0.5,5.0
9,32.6,17.4,6.1,13.1,46.6,2.2,5.4,40.8,3.0,4.3,69.2,0.9,6.4,7.3,1.4,0.9,1.8,3.0,17.6,77,27.0,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,1.5,5.5,6.9,1.3,0.5,1.9,1.4,19.7,62,29.4,18.0,6.5,11.8,54.8,1.5,4.0,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,0.6,2.3,1.7,21.8
10,23.2,7.7,3.2,6.3,50.8,0.4,2.0,20.0,0.9,0.9,100,0.9,3.0,3.9,2.7,1.0,0.2,0.8,11.6,66,19.0,7.1,2.6,5.6,46.3,0.9,2.3,38.7,1.0,1.3,79.1,0.8,2.8,3.6,1.9,0.7,0.2,1.0,9.3,77,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3.0,3.6,2.5,0.7,0.2,1.3,10.1
10,23.8,14.1,5.0,9.3,53.8,2.3,4.8,47.9,1.8,1.9,94.7,0.7,4.8,5.5,1.7,0.4,0.5,1.2,16.6,81,24.2,13.5,5.0,10.5,47.7,2.1,5.0,41.4,1.3,1.8,73.6,0.9,4.3,5.2,1.3,0.8,0.9,1.4,14.3,68,18.4,11.5,4.6,8.5,53.7,1.1,3.2,34.6,1.3,1.9,67.7,1.1,3.8,4.9,1.1,0.6,0.8,1.4,13.0
10,24.9,9.2,4.0,6.0,66.7,0.0,0.0,0.0,1.2,2.7,44.4,2.2,5.8,8.0,2.6,0.6,1.3,1.0,17.2,71,29.8,11.8,5.2,8.2,62.9,0.0,0.1,20.0,1.5,2.8,55.1,2.7,7.2,9.9,2.1,0.6,2.1,1.3,21.0,76,29.9,12.6,5.4,7.7,70.5,0.0,0.0,0.0,1.8,3.2,54.1,2.4,6.8,9.2,1.9,0.9,2.5,1.3,22.1
10,23.1,8.4,2.9,5.5,52.7,1.7,3.4,50.0,0.9,1.3,69.2,0.6,2.0,2.6,2.7,0.8,0.3,1.2,10.6,82,23.4,8.0,2.9,6.6,43.9,1.6,4.1,39.1,0.6,0.8,80.0,0.4,1.6,2.0,2.5,0.8,0.5,0.9,9.0,59,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.5,0.4,0.9,6.5
